Customer_ID,Age,Gender,City,Annual_Income,Customer_Segment,Purchase_Frequency,Avg_Order_Value,Total_Annual_Spend,Preferred_Category,Device_Used,Payment_Method,Avg_Session_Duration_Min,Pages_Per_Session,Cart_Abandonment_Rate,Items_Returned,Return_Rate,Discount_Usage,Review_Given,Avg_Rating_Given,Days_Since_Last_Purchase,Wishlist_Items,Newsletter_Subscribed,Membership_Tier
CUST00001,33,Male,Pune,65793,Regular,4,836.06,3239.42,Toys,Mobile,Debit Card,10.4,4.7,0.31,0,0.14,Sometimes,0,,68,14,No,None
CUST00002,26,Female,Chennai,53118,Regular,7,1390.58,9198.81,Home & Kitchen,Desktop,Debit Card,9.5,5.6,0.3,0,0.12,Sometimes,1,5.0,71,14,Yes,None
CUST00003,49,Female,Mumbai,39590,Churned,1,306.49,262.71,Toys,Mobile,Debit Card,5.1,4.4,0.75,0,0.22,Never,0,,357,1,No,None
CUST00004,48,Male,Mumbai,43368,Occasional,2,249.24,418.02,Books,Desktop,UPI,14.8,7.0,0.59,0,0.09,Sometimes,0,,285,1,No,Bronze
CUST00005,37,Male,Mumbai,21430,Occasional,2,624.52,1405.11,Clothing,Mobile,UPI,2.5,9.0,0.5,0,0.08,Always,1,4.5,147,2,No,None
CUST00006,18,Male,Hyderabad,41346,Occasional,2,758.33,1795.17,Clothing,Mobile,Wallet,11.1,4.2,0.58,0,0.07,Sometimes,0,,194,3,Yes,None
CUST00007,39,Female,Chennai,62192,Regular,10,3026.35,26603.52,Electronics,Mobile,UPI,5.2,8.3,0.35,1,0.1,Never,0,,96,13,No,None
CUST00008,50,Female,Delhi,58928,Regular,3,2859.73,10220.56,Home & Kitchen,Mobile,Credit Card,12.8,5.8,0.41,0,0.05,Sometimes,0,,136,14,Yes,None
CUST00009,38,Male,Pune,22267,Occasional,1,142.53,135.07,Grocery,Tablet,Wallet,3.2,1.0,0.48,0,0.06,Rarely,0,,232,3,No,None
CUST00010,27,Female,Kolkata,52506,Regular,5,756.75,3728.0,Clothing,Desktop,UPI,11.5,2.8,0.42,0,0.18,Never,0,,151,5,No,None
CUST00011,27,Female,Mumbai,35418,Churned,2,158.67,306.42,Books,Desktop,Credit Card,7.7,7.7,0.79,0,0.21,Sometimes,1,3.9,179,1,No,Silver
CUST00012,32,Female,Delhi,47564,Occasional,5,1891.57,11197.94,Electronics,Desktop,Credit Card,10.6,2.0,0.52,0,0.09,Always,0,,46,4,No,Bronze
CUST00013,35,Female,Chennai,25202,Churned,1,988.47,963.22,Sports,Desktop,UPI,5.7,9.8,0.77,0,0.23,Rarely,0,,148,3,No,None
CUST00014,44,Female,Chennai,24842,Occasional,2,522.97,967.87,Beauty,Desktop,Wallet,7.7,8.4,0.57,0,0.07,Never,0,,314,2,Yes,None
CUST00015,37,Male,Mumbai,39919,Occasional,1,537.29,478.54,Clothing,Desktop,Wallet,11.5,9.0,0.57,0,0.01,Rarely,0,,146,1,Yes,None
CUST00016,28,Female,Bangalore,44091,Regular,5,189.83,1093.48,Books,Desktop,Credit Card,6.1,7.7,0.47,0,0.16,Always,1,5.0,144,2,Yes,Bronze
CUST00017,18,Male,Mumbai,67196,Regular,4,743.69,3332.5,Clothing,Desktop,Debit Card,8.8,8.7,0.45,0,0.12,Sometimes,0,,159,17,Yes,Bronze
CUST00018,51,Female,Bangalore,49581,Regular,8,471.71,3966.68,Home & Kitchen,Desktop,Credit Card,12.0,5.1,0.28,1,0.18,Rarely,1,4.6,32,18,Yes,Silver
CUST00019,23,Male,Bangalore,43915,Regular,3,235.38,630.33,Toys,Desktop,Debit Card,2.1,3.0,0.3,0,0.14,Sometimes,1,2.6,35,0,Yes,Bronze
CUST00020,27,Female,Mumbai,33075,Occasional,3,1058.03,3016.46,Home & Kitchen,Mobile,Credit Card,2.6,4.7,0.52,0,0.1,Always,0,,62,0,Yes,None
CUST00021,41,Male,Bangalore,132059,Premium,9,1048.77,7617.97,Beauty,Mobile,Credit Card,6.1,1.0,0.21,0,0.06,Never,0,,33,7,No,Silver
CUST00022,21,Male,Delhi,42758,Churned,2,242.78,504.08,Beauty,Desktop,Credit Card,7.6,5.3,0.74,0,0.21,Rarely,0,,330,4,Yes,Bronze
CUST00023,36,Male,Ahmedabad,43242,Regular,5,1443.29,8654.88,Beauty,Desktop,Wallet,13.5,5.7,0.31,0,0.15,Sometimes,1,2.8,98,16,Yes,None
CUST00024,32,Male,Chennai,23852,Occasional,3,485.41,1745.62,Home & Kitchen,Mobile,Debit Card,1.5,6.3,0.48,0,0.05,Rarely,0,,106,1,Yes,Bronze
CUST00025,35,Female,Chennai,70161,Regular,3,2027.89,5839.23,Clothing,Mobile,UPI,8.2,5.6,0.43,0,0.14,Always,1,4.9,106,6,Yes,None
CUST00026,24,Male,Chennai,23346,Occasional,1,88.86,85.47,Grocery,Desktop,Credit Card,3.7,5.9,0.64,0,0.07,Rarely,1,4.5,313,5,No,None
CUST00027,43,Female,Chennai,38112,Occasional,5,2630.52,14724.59,Electronics,Desktop,COD,7.7,6.4,0.51,0,0.07,Sometimes,1,3.4,179,2,Yes,None
CUST00028,45,Female,Pune,25294,Churned,1,52.85,55.57,Books,Mobile,UPI,3.8,6.4,0.62,0,0.19,Rarely,0,,223,2,Yes,Bronze
CUST00029,37,Male,Mumbai,37808,Occasional,5,202.83,1189.9,Books,Mobile,UPI,10.3,4.9,0.57,0,0.04,Always,0,,43,4,Yes,None
CUST00030,18,Female,Mumbai,39161,Regular,8,4189.7,33224.29,Electronics,Mobile,UPI,15.5,8.1,0.35,1,0.16,Always,0,,47,11,Yes,Silver
CUST00031,49,Female,Mumbai,42048,Occasional,1,1200.62,1326.45,Home & Kitchen,Mobile,Credit Card,7.6,2.0,0.55,0,0.08,Sometimes,0,,250,1,No,None
CUST00032,34,Female,Delhi,36669,Churned,1,502.63,540.13,Clothing,Desktop,Wallet,1.0,3.9,0.79,0,0.19,Sometimes,0,,106,5,No,None
CUST00033,18,Female,Ahmedabad,34358,Occasional,1,724.44,866.32,Clothing,Mobile,Debit Card,13.5,8.1,0.53,0,0.1,Never,0,,148,1,No,None
CUST00034,32,Male,Chennai,31802,Occasional,4,1493.13,6647.65,Electronics,Mobile,Credit Card,13.0,6.1,0.42,0,0.09,Sometimes,1,3.4,102,5,No,None
CUST00035,25,Female,Pune,43801,Occasional,4,238.75,967.21,Grocery,Mobile,Debit Card,6.7,7.5,0.6,0,0.09,Rarely,1,4.2,155,5,Yes,None
CUST00036,31,Male,Pune,44687,Regular,7,1412.42,11690.68,Clothing,Mobile,Debit Card,1.0,1.0,0.2,1,0.15,Sometimes,1,4.7,66,15,Yes,None
CUST00037,28,Female,Bangalore,114103,Premium,17,3206.78,53729.95,Clothing,Mobile,UPI,13.3,6.4,0.31,0,0.03,Sometimes,1,4.5,21,1,No,Gold
